notebook,model_id,slug,storage,gpus,download_status,local_path,model_dir_exists,eligible
12_google__gemma-4-31B-it-qat-q4_0-unquantized.ipynb,google/gemma-4-31B-it-qat-q4_0-unquantized,google__gemma-4-31B-it-qat-q4_0-unquantized,SSD2,2,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/google__gemma-4-31B-it-qat-q4_0-unquantized,yes,yes
13_google__gemma-4-31B-it.ipynb,google/gemma-4-31B-it,google__gemma-4-31B-it,SSD2,2,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/google__gemma-4-31B-it,yes,yes
14_Qwen__Qwen3-Coder-30B-A3B-Instruct.ipynb,Qwen/Qwen3-Coder-30B-A3B-Instruct,Qwen__Qwen3-Coder-30B-A3B-Instruct,SSD2,2,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/Qwen__Qwen3-Coder-30B-A3B-Instruct,yes,yes
15_Qwen__Qwen3-Omni-30B-A3B-Instruct.ipynb,Qwen/Qwen3-Omni-30B-A3B-Instruct,Qwen__Qwen3-Omni-30B-A3B-Instruct,SSD2,2,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/Qwen__Qwen3-Omni-30B-A3B-Instruct,yes,yes
16_Qwen__Qwen3-30B-A3B.ipynb,Qwen/Qwen3-30B-A3B,Qwen__Qwen3-30B-A3B,SSD2,2,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/Qwen__Qwen3-30B-A3B,yes,yes
17_Qwen__Qwen3-30B-A3B-Instruct-2507.ipynb,Qwen/Qwen3-30B-A3B-Instruct-2507,Qwen__Qwen3-30B-A3B-Instruct-2507,SSD2,2,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/Qwen__Qwen3-30B-A3B-Instruct-2507,yes,yes
18_Alibaba-NLP__Tongyi-DeepResearch-30B-A3B.ipynb,Alibaba-NLP/Tongyi-DeepResearch-30B-A3B,Alibaba-NLP__Tongyi-DeepResearch-30B-A3B,SSD2,2,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/Alibaba-NLP__Tongyi-DeepResearch-30B-A3B,yes,yes
19_google__gemma-3-27b-it.ipynb,google/gemma-3-27b-it,google__gemma-3-27b-it,SSD2,2,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/google__gemma-3-27b-it,yes,yes
20_Qwen__Qwen3.5-27B.ipynb,Qwen/Qwen3.5-27B,Qwen__Qwen3.5-27B,SSD2,2,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/Qwen__Qwen3.5-27B,yes,yes
21_Qwen__Qwen3.6-27B.ipynb,Qwen/Qwen3.6-27B,Qwen__Qwen3.6-27B,SSD2,2,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/Qwen__Qwen3.6-27B,yes,yes
22_google__diffusiongemma-26B-A4B-it.ipynb,google/diffusiongemma-26B-A4B-it,google__diffusiongemma-26B-A4B-it,SSD2,2,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/google__diffusiongemma-26B-A4B-it,yes,yes
23_google__gemma-4-26B-A4B.ipynb,google/gemma-4-26B-A4B,google__gemma-4-26B-A4B,SSD2,2,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/google__gemma-4-26B-A4B,yes,yes
24_google__gemma-4-26B-A4B-it-qat-q4_0-unquantized.ipynb,google/gemma-4-26B-A4B-it-qat-q4_0-unquantized,google__gemma-4-26B-A4B-it-qat-q4_0-unquantized,SSD2,2,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/google__gemma-4-26B-A4B-it-qat-q4_0-unquantized,yes,yes
25_google__gemma-4-26B-A4B-it.ipynb,google/gemma-4-26B-A4B-it,google__gemma-4-26B-A4B-it,SSD2,2,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/google__gemma-4-26B-A4B-it,yes,yes
26_baidu__ERNIE-4.5-21B-A3B-Thinking.ipynb,baidu/ERNIE-4.5-21B-A3B-Thinking,baidu__ERNIE-4.5-21B-A3B-Thinking,SSD1,2,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/baidu__ERNIE-4.5-21B-A3B-Thinking,yes,yes
27_openai__gpt-oss-20b.ipynb,openai/gpt-oss-20b,openai__gpt-oss-20b,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/openai__gpt-oss-20b,yes,yes
28_Qwen__Qwen3-14B.ipynb,Qwen/Qwen3-14B,Qwen__Qwen3-14B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/Qwen__Qwen3-14B,yes,yes
29_Wan-AI__Wan2.2-T2V-A14B.ipynb,Wan-AI/Wan2.2-T2V-A14B,Wan-AI__Wan2.2-T2V-A14B,SSD1,4,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/Wan-AI__Wan2.2-T2V-A14B,yes,no
30_google__gemma-4-12B-it.ipynb,google/gemma-4-12B-it,google__gemma-4-12B-it,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/google__gemma-4-12B-it,yes,yes
31_google__gemma-4-12B.ipynb,google/gemma-4-12B,google__gemma-4-12B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/google__gemma-4-12B,yes,yes
32_google__gemma-4-12B-it-assistant.ipynb,google/gemma-4-12B-it-assistant,google__gemma-4-12B-it-assistant,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/google__gemma-4-12B-it-assistant,yes,yes
33_google__gemma-4-12B-it-qat-q4_0-unquantized.ipynb,google/gemma-4-12B-it-qat-q4_0-unquantized,google__gemma-4-12B-it-qat-q4_0-unquantized,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/google__gemma-4-12B-it-qat-q4_0-unquantized,yes,yes
34_google__gemma-3-12b-it.ipynb,google/gemma-3-12b-it,google__gemma-3-12b-it,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/google__gemma-3-12b-it,yes,yes
35_black-forest-labs__FLUX.1-dev.ipynb,black-forest-labs/FLUX.1-dev,black-forest-labs__FLUX.1-dev,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/black-forest-labs__FLUX.1-dev,yes,yes
36_Qwen__Qwen3.5-9B.ipynb,Qwen/Qwen3.5-9B,Qwen__Qwen3.5-9B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/Qwen__Qwen3.5-9B,yes,yes
37_zai-org__GLM-4.1V-9B-Thinking.ipynb,zai-org/GLM-4.1V-9B-Thinking,zai-org__GLM-4.1V-9B-Thinking,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/zai-org__GLM-4.1V-9B-Thinking,yes,yes
38_black-forest-labs__FLUX.2-klein-9B.ipynb,black-forest-labs/FLUX.2-klein-9B,black-forest-labs__FLUX.2-klein-9B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/black-forest-labs__FLUX.2-klein-9B,yes,yes
39_Qwen__Qwen3-8B.ipynb,Qwen/Qwen3-8B,Qwen__Qwen3-8B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/Qwen__Qwen3-8B,yes,yes
40_Qwen__Qwen3-VL-8B-Instruct.ipynb,Qwen/Qwen3-VL-8B-Instruct,Qwen__Qwen3-VL-8B-Instruct,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/Qwen__Qwen3-VL-8B-Instruct,yes,yes
41_microsoft__UserLM-8b.ipynb,microsoft/UserLM-8b,microsoft__UserLM-8b,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/microsoft__UserLM-8b,yes,yes
42_deepseek-ai__DeepSeek-R1-0528-Qwen3-8B.ipynb,deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,deepseek-ai__DeepSeek-R1-0528-Qwen3-8B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/deepseek-ai__DeepSeek-R1-0528-Qwen3-8B,yes,yes
43_deepseek-ai__DeepSeek-R1-Distill-Llama-8B.ipynb,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,deepseek-ai__DeepSeek-R1-Distill-Llama-8B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/deepseek-ai__DeepSeek-R1-Distill-Llama-8B,yes,yes
44_Qwen__Qwen3-Reranker-8B.ipynb,Qwen/Qwen3-Reranker-8B,Qwen__Qwen3-Reranker-8B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/Qwen__Qwen3-Reranker-8B,yes,yes
45_ibm-granite__granite-4.1-8b.ipynb,ibm-granite/granite-4.1-8b,ibm-granite__granite-4.1-8b,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/ibm-granite__granite-4.1-8b,yes,yes
46_meta-llama__Llama-3.1-8B-Instruct.ipynb,meta-llama/Llama-3.1-8B-Instruct,meta-llama__Llama-3.1-8B-Instruct,SSD1,1,Incomplete,/disk/ssd1/zihaomu_amd/models/meta-llama__Llama-3.1-8B-Instruct,yes,no
47_deepseek-ai__Janus-Pro-7B.ipynb,deepseek-ai/Janus-Pro-7B,deepseek-ai__Janus-Pro-7B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/deepseek-ai__Janus-Pro-7B,yes,yes
48_Qwen__Qwen2.5-Omni-7B.ipynb,Qwen/Qwen2.5-Omni-7B,Qwen__Qwen2.5-Omni-7B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/Qwen__Qwen2.5-Omni-7B,yes,yes
49_deepseek-ai__DeepSeek-R1-Distill-Qwen-7B.ipynb,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,deepseek-ai__DeepSeek-R1-Distill-Qwen-7B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/deepseek-ai__DeepSeek-R1-Distill-Qwen-7B,yes,yes
50_tencent__Hunyuan-MT-7B.ipynb,tencent/Hunyuan-MT-7B,tencent__Hunyuan-MT-7B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/tencent__Hunyuan-MT-7B,yes,yes
51_allenai__olmOCR-7B-0225-preview.ipynb,allenai/olmOCR-7B-0225-preview,allenai__olmOCR-7B-0225-preview,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/allenai__olmOCR-7B-0225-preview,yes,yes
52_Qwen__Qwen2.5-VL-7B-Instruct.ipynb,Qwen/Qwen2.5-VL-7B-Instruct,Qwen__Qwen2.5-VL-7B-Instruct,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/Qwen__Qwen2.5-VL-7B-Instruct,yes,yes
53_Qwen__Qwen3.5-4B.ipynb,Qwen/Qwen3.5-4B,Qwen__Qwen3.5-4B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/Qwen__Qwen3.5-4B,yes,yes
54_google__medgemma-1.5-4b-it.ipynb,google/medgemma-1.5-4b-it,google__medgemma-1.5-4b-it,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/google__medgemma-1.5-4b-it,yes,yes
55_google__gemma-3-4b-it.ipynb,google/gemma-3-4b-it,google__gemma-3-4b-it,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/google__gemma-3-4b-it,yes,yes
56_microsoft__FastContext-1.0-4B-SFT.ipynb,microsoft/FastContext-1.0-4B-SFT,microsoft__FastContext-1.0-4B-SFT,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/microsoft__FastContext-1.0-4B-SFT,yes,yes
57_google__medgemma-4b-it.ipynb,google/medgemma-4b-it,google__medgemma-4b-it,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/google__medgemma-4b-it,yes,yes
58_Qwen__Qwen3-4B-Instruct-2507.ipynb,Qwen/Qwen3-4B-Instruct-2507,Qwen__Qwen3-4B-Instruct-2507,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/Qwen__Qwen3-4B-Instruct-2507,yes,yes
59_google__translategemma-4b-it.ipynb,google/translategemma-4b-it,google__translategemma-4b-it,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/google__translategemma-4b-it,yes,yes
60_Qwen__Qwen3-4B.ipynb,Qwen/Qwen3-4B,Qwen__Qwen3-4B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/Qwen__Qwen3-4B,yes,yes
61_Qwen__Qwen3-VL-4B-Instruct.ipynb,Qwen/Qwen3-VL-4B-Instruct,Qwen__Qwen3-VL-4B-Instruct,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/Qwen__Qwen3-VL-4B-Instruct,yes,yes
62_Qwen__Qwen3-Reranker-4B.ipynb,Qwen/Qwen3-Reranker-4B,Qwen__Qwen3-Reranker-4B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/Qwen__Qwen3-Reranker-4B,yes,yes
63_google__gemma-4-E4B-it.ipynb,google/gemma-4-E4B-it,google__gemma-4-E4B-it,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/google__gemma-4-E4B-it,yes,yes
64_HuggingFaceTB__SmolLM3-3B.ipynb,HuggingFaceTB/SmolLM3-3B,HuggingFaceTB__SmolLM3-3B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/HuggingFaceTB__SmolLM3-3B,yes,yes
65_bosonai__higgs-audio-v2-generation-3B-base.ipynb,bosonai/higgs-audio-v2-generation-3B-base,bosonai__higgs-audio-v2-generation-3B-base,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/bosonai__higgs-audio-v2-generation-3B-base,yes,yes
66_Qwen__Qwen2.5-VL-3B-Instruct.ipynb,Qwen/Qwen2.5-VL-3B-Instruct,Qwen__Qwen2.5-VL-3B-Instruct,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/Qwen__Qwen2.5-VL-3B-Instruct,yes,yes
67_Qwen__Qwen2.5-Omni-3B.ipynb,Qwen/Qwen2.5-Omni-3B,Qwen__Qwen2.5-Omni-3B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/Qwen__Qwen2.5-Omni-3B,yes,yes
68_ibm-granite__granite-speech-4.1-2b.ipynb,ibm-granite/granite-speech-4.1-2b,ibm-granite__granite-speech-4.1-2b,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/ibm-granite__granite-speech-4.1-2b,yes,yes
69_Qwen__Qwen3.5-2B.ipynb,Qwen/Qwen3.5-2B,Qwen__Qwen3.5-2B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/Qwen__Qwen3.5-2B,yes,yes
70_microsoft__bitnet-b1.58-2B-4T.ipynb,microsoft/bitnet-b1.58-2B-4T,microsoft__bitnet-b1.58-2B-4T,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/microsoft__bitnet-b1.58-2B-4T,yes,yes
71_Qwen__Qwen3-VL-2B-Instruct.ipynb,Qwen/Qwen3-VL-2B-Instruct,Qwen__Qwen3-VL-2B-Instruct,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/Qwen__Qwen3-VL-2B-Instruct,yes,yes
72_tencent__Hy-MT2-1.8B.ipynb,tencent/Hy-MT2-1.8B,tencent__Hy-MT2-1.8B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/tencent__Hy-MT2-1.8B,yes,yes
73_tencent__HY-MT1.5-1.8B.ipynb,tencent/HY-MT1.5-1.8B,tencent__HY-MT1.5-1.8B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/tencent__HY-MT1.5-1.8B,yes,yes
74_Qwen__Qwen3-ASR-1.7B.ipynb,Qwen/Qwen3-ASR-1.7B,Qwen__Qwen3-ASR-1.7B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/Qwen__Qwen3-ASR-1.7B,yes,yes
75_Qwen__Qwen3-1.7B.ipynb,Qwen/Qwen3-1.7B,Qwen__Qwen3-1.7B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/Qwen__Qwen3-1.7B,yes,yes
76_microsoft__VibeVoice-1.5B.ipynb,microsoft/VibeVoice-1.5B,microsoft__VibeVoice-1.5B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/microsoft__VibeVoice-1.5B,yes,yes
77_deepseek-ai__DeepSeek-R1-Distill-Qwen-1.5B.ipynb,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai__DeepSeek-R1-Distill-Qwen-1.5B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/deepseek-ai__DeepSeek-R1-Distill-Qwen-1.5B,yes,yes
78_sapientinc__HRM-Text-1B.ipynb,sapientinc/HRM-Text-1B,sapientinc__HRM-Text-1B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/sapientinc__HRM-Text-1B,yes,yes
79_openbmb__MiniCPM5-1B.ipynb,openbmb/MiniCPM5-1B,openbmb__MiniCPM5-1B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/openbmb__MiniCPM5-1B,yes,yes
80_google__gemma-3-1b-it.ipynb,google/gemma-3-1b-it,google__gemma-3-1b-it,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/google__gemma-3-1b-it,yes,yes
81_sesame__csm-1b.ipynb,sesame/csm-1b,sesame__csm-1b,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/sesame__csm-1b,yes,yes
82_lightonai__LightOnOCR-2-1B.ipynb,lightonai/LightOnOCR-2-1B,lightonai__LightOnOCR-2-1B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/lightonai__LightOnOCR-2-1B,yes,yes
83_Qwen__Qwen3.5-0.8B.ipynb,Qwen/Qwen3.5-0.8B,Qwen__Qwen3.5-0.8B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/Qwen__Qwen3.5-0.8B,yes,yes
84_openai__whisper-large-v3-turbo.ipynb,openai/whisper-large-v3-turbo,openai__whisper-large-v3-turbo,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/openai__whisper-large-v3-turbo,yes,yes
85_Qwen__Qwen3-0.6B.ipynb,Qwen/Qwen3-0.6B,Qwen__Qwen3-0.6B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/Qwen__Qwen3-0.6B,yes,yes
86_Qwen__Qwen3-Reranker-0.6B.ipynb,Qwen/Qwen3-Reranker-0.6B,Qwen__Qwen3-Reranker-0.6B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/Qwen__Qwen3-Reranker-0.6B,yes,yes
87_Qwen__Qwen3-ASR-0.6B.ipynb,Qwen/Qwen3-ASR-0.6B,Qwen__Qwen3-ASR-0.6B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/Qwen__Qwen3-ASR-0.6B,yes,yes
88_BAAI__bge-m3.ipynb,BAAI/bge-m3,BAAI__bge-m3,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/BAAI__bge-m3,yes,yes
89_microsoft__VibeVoice-Realtime-0.5B.ipynb,microsoft/VibeVoice-Realtime-0.5B,microsoft__VibeVoice-Realtime-0.5B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/microsoft__VibeVoice-Realtime-0.5B,yes,yes
90_moonshotai__MoonViT-SO-400M.ipynb,moonshotai/MoonViT-SO-400M,moonshotai__MoonViT-SO-400M,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/moonshotai__MoonViT-SO-400M,yes,yes
91_ibm-granite__granite-docling-258M.ipynb,ibm-granite/granite-docling-258M,ibm-granite__granite-docling-258M,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/ibm-granite__granite-docling-258M,yes,yes
92_google__gemma-3-270m.ipynb,google/gemma-3-270m,google__gemma-3-270m,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/google__gemma-3-270m,yes,yes
93_google__functiongemma-270m-it.ipynb,google/functiongemma-270m-it,google__functiongemma-270m-it,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/google__functiongemma-270m-it,yes,yes
94_HuggingFaceTB__SmolVLM-256M-Instruct.ipynb,HuggingFaceTB/SmolVLM-256M-Instruct,HuggingFaceTB__SmolVLM-256M-Instruct,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/HuggingFaceTB__SmolVLM-256M-Instruct,yes,yes
95_Tongyi-MAI__Z-Image-Turbo.ipynb,Tongyi-MAI/Z-Image-Turbo,Tongyi-MAI__Z-Image-Turbo,SSD2,1,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/Tongyi-MAI__Z-Image-Turbo,yes,yes
96_black-forest-labs__FLUX.2-dev.ipynb,black-forest-labs/FLUX.2-dev,black-forest-labs__FLUX.2-dev,SSD2,4,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/black-forest-labs__FLUX.2-dev,yes,no
97_poolside__Laguna-XS.2.ipynb,poolside/Laguna-XS.2,poolside__Laguna-XS.2,SSD2,2,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/poolside__Laguna-XS.2,yes,yes
98_zai-org__GLM-4.7-Flash.ipynb,zai-org/GLM-4.7-Flash,zai-org__GLM-4.7-Flash,SSD2,2,Completed (SSD2),/disk/ssd2/zihaomu_amd/models/zai-org__GLM-4.7-Flash,yes,yes
99_CohereLabs__North-Mini-Code-1.0.ipynb,CohereLabs/North-Mini-Code-1.0,CohereLabs__North-Mini-Code-1.0,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/CohereLabs__North-Mini-Code-1.0,yes,yes
100_zai-org__GLM-OCR.ipynb,zai-org/GLM-OCR,zai-org__GLM-OCR,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/zai-org__GLM-OCR,yes,yes
101_zai-org__GLM-4.5.ipynb,zai-org/GLM-4.5,zai-org__GLM-4.5,SSD1,16,Skipped (Manual),/disk/ssd1/zihaomu_amd/models/zai-org__GLM-4.5,yes,no
102_openbmb__MiniCPM-o-4_5.ipynb,openbmb/MiniCPM-o-4_5,openbmb__MiniCPM-o-4_5,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/openbmb__MiniCPM-o-4_5,yes,yes
103_zai-org__GLM-4.6.ipynb,zai-org/GLM-4.6,zai-org__GLM-4.6,SSD1,,,/disk/ssd1/zihaomu_amd/models/zai-org__GLM-4.6,yes,no
104_openbmb__MiniCPM-V-4_5.ipynb,openbmb/MiniCPM-V-4_5,openbmb__MiniCPM-V-4_5,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/openbmb__MiniCPM-V-4_5,yes,yes
105_zai-org__GLM-4.5V.ipynb,zai-org/GLM-4.5V,zai-org__GLM-4.5V,SSD1,8,Skipped (Manual),/disk/ssd1/zihaomu_amd/models/zai-org__GLM-4.5V,yes,no
106_openbmb__MiniCPM-SALA.ipynb,openbmb/MiniCPM-SALA,openbmb__MiniCPM-SALA,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/openbmb__MiniCPM-SALA,yes,yes
107_openbmb__MiniCPM-o-2_6.ipynb,openbmb/MiniCPM-o-2_6,openbmb__MiniCPM-o-2_6,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/openbmb__MiniCPM-o-2_6,yes,yes
108_google__gemma-3n-E4B-it.ipynb,google/gemma-3n-E4B-it,google__gemma-3n-E4B-it,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/google__gemma-3n-E4B-it,yes,yes
109_microsoft__Phi-4-multimodal-instruct.ipynb,microsoft/Phi-4-multimodal-instruct,microsoft__Phi-4-multimodal-instruct,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/microsoft__Phi-4-multimodal-instruct,yes,yes
110_google__gemma-4-E4B.ipynb,google/gemma-4-E4B,google__gemma-4-E4B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/google__gemma-4-E4B,yes,yes
111_microsoft__Phi-4-mini-instruct.ipynb,microsoft/Phi-4-mini-instruct,microsoft__Phi-4-mini-instruct,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/microsoft__Phi-4-mini-instruct,yes,yes
112_google__gemma-4-E2B-it.ipynb,google/gemma-4-E2B-it,google__gemma-4-E2B-it,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/google__gemma-4-E2B-it,yes,yes
113_google__gemma-4-E2B.ipynb,google/gemma-4-E2B,google__gemma-4-E2B,SSD1,1,Completed (SSD1),/disk/ssd1/zihaomu_amd/models/google__gemma-4-E2B,yes,yes
114_facebook__sam3.ipynb,facebook/sam3,facebook__sam3,SSD1,1,Incomplete,/disk/ssd1/zihaomu_amd/models/facebook__sam3,yes,no
